Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,81.809998,82.419998,81.379997,81.519997,79.476074,8033500
2021-04-27,81.410004,82.050003,81.199997,81.959999,79.905037,7057400
2021-04-28,82.400002,82.949997,82.070000,82.730003,80.655746,7228200
2021-04-29,83.199997,83.790001,82.129997,83.639999,81.889366,9974800
2021-04-30,82.889999,83.279999,82.230003,82.550003,80.822189,9298600
2021-05-03,83.110001,83.489998,82.300003,82.459999,80.734055,6759000
2021-05-04,82.089996,82.830002,80.750000,82.639999,80.910294,8802700
2021-05-05,82.910004,84.839996,82.239998,84.510002,82.741158,9424400
2021-05-06,84.930000,86.910004,84.400002,86.830002,85.012596,11887900
2021-05-07,85.480003,88.040001,85.339996,87.699997,85.864380,9947600
2021-05-10,88.070000,88.879997,86.430000,86.470001,84.660133,9344500
2021-05-11,85.059998,85.940002,83.839996,84.919998,83.142570,10397800
2021-05-12,85.400002,86.190002,83.360001,83.680000,81.928528,12602200
2021-05-13,83.690002,85.650002,83.410004,84.860001,83.083832,8639700
2021-05-14,85.610001,87.580002,85.610001,87.349998,85.521706,7755900
2021-05-17,86.790001,88.120003,86.300003,88.089996,86.246223,7157900
2021-05-18,88.230003,88.570000,86.870003,86.970001,85.149666,6631700
2021-05-19,85.309998,86.099998,84.320000,86.050003,84.248932,10165600
2021-05-20,86.180000,87.029999,85.320000,86.470001,84.660133,7722100
2021-05-21,86.940002,88.779999,86.730003,88.339996,86.490990,9326800
2021-05-24,88.709999,90.199997,88.320000,89.690002,87.812744,7788800
2021-05-25,90.279999,91.349998,88.739998,88.860001,87.000107,10599600
2021-05-26,88.660004,89.849998,87.949997,89.349998,87.479851,8665200
2021-05-27,90.099998,90.919998,88.589996,90.300003,88.409973,21840900
2021-05-28,90.550003,91.279999,89.900002,90.949997,89.046356,9484800
2021-06-01,92.389999,93.309998,91.870003,92.110001,90.182076,9576400
2021-06-02,92.510002,93.150002,91.559998,92.760002,90.818481,6878400
2021-06-03,92.330002,93.919998,92.160004,93.349998,91.396133,7926800
2021-06-04,93.860001,94.169998,92.639999,93.959999,91.993362,6406800
2021-06-07,94.230003,94.269997,92.739998,93.209999,91.259064,6773800
2021-06-08,92.349998,93.190002,91.690002,92.790001,90.847847,7036300
2021-06-09,92.379997,93.220001,91.790001,92.669998,90.730370,7811700
2021-06-10,93.500000,93.980003,91.529999,91.680000,89.761086,6584900
2021-06-11,91.720001,92.559998,91.690002,92.050003,90.123344,6509400
2021-06-14,91.790001,91.889999,89.889999,90.720001,88.821182,10163100
2021-06-15,91.089996,91.199997,89.900002,90.699997,88.801590,7459000
2021-06-16,90.500000,91.639999,89.449997,91.099998,89.193222,11370300
